pyMor/pyMor,Python,0.836364,1,1,0.259645,80.04348,4.913043,1,16781,0.0,13,1,1,1,1
chamilo/chamilo-lms,PHP,0.780206,3,1,0.192695,196.230774,16.128204,1,881148,0.043666,116,1,1,1,1
netgen/TagsBundle,PHP,0.925373,1,1,0.308886,6.5,0.863636,1,9003,0.102528,18,1,1,1,1
koreader/koreader-base,C,0.103448,4,1,0.088274,37.833332,12.833333,1,11961,0.207302,29,1,1,1,1
inducer/pyfmmlib,Python,0.857143,1,0,0.201826,2.125,0.0,1,788,0.07874,2,1,0,1,1
robotology/yarp,C,0.875417,6,1,0.194489,49.551723,8.086207,1,629645,0.441259,55,1,1,1,1
peek/peek,Ruby,0.45,1,0,0.184104,10.826087,2.956522,1,1246,0.171206,2318,1,1,1,1
yegorich/can-utils,C,0.581395,2,0,0.202267,0.244186,0.0,1,7772,0.0,0,0,0,1,1
Fody/MethodDecorator,C#,0.948718,2,0,0.008906,1.764706,0.558824,1,2049,0.311475,28,1,1,1,1
kentonv/capnproto,C++,0.986842,1,0,0.122958,54.727272,7.727273,1,89055,0.0,3310,0,1,1,1
GooFit/GooFit,C++,0.90411,2,0,0.165193,6.227273,0.772727,1,19101,0.0,23,1,1,1,1
pudo/dataset,Python,0.782609,7,1,0.210225,9.086957,5.26087,1,1697,0.282482,2172,1,1,1,1
freakboy3742/pyxero,Python,0.769231,5,1,0.213568,4.5,3.125,1,1506,0.366559,76,1,1,1,1
deivid-rodriguez/byebug,Ruby,0.958333,1,1,0.158001,55.25,5.583333,1,10764,0.034652,1863,1,1,1,1
mar10/pyftpsync,Python,0.75,1,1,0.244226,2.142857,0.071429,1,2166,0.218813,11,1,1,1,1
thatguystone/approxidate,C,1.0,1,1,0.108504,0.625,0.041667,1,936,0.112559,11,0,0,1,1
SimonCropp/HandlerOrdering,C#,0.461538,1,0,0.007168,1.227273,0.0,1,584,0.358601,0,0,0,1,1
stripe/stripe-android,Java,0.916667,5,1,0.166667,3.384615,1.5,1,2476,0.42888,164,1,1,1,1
thraxil/antisocial,Python,0.258065,1,1,0.101986,3.0,1.041667,1,11306,0.067485,16,1,1,1,1
facelessuser/QuickCal,Python,0.6,2,0,0.045726,3.333333,1.0,0,549,0.0,7,0,0,1,1
flashcode/gitchart,Python,0.0,1,0,0.211302,1.238095,0.095238,1,360,0.0,22,0,0,1,1
joel-costigliola/assertj-core,Java,0.998588,9,1,0.423162,24.875,15.0,1,82832,0.689136,587,1,1,1,1
camptocamp/c2cgeoportal,Python,0.865169,3,1,0.332975,135.829269,32.365852,1,219731,0.795044,20,1,1,1,1
