SoftInstigate/restheart,Java,0.88764,2,1,0.355101,57.555557,2.222222,1,12632,0.219747,160,1,1,1,1
eclipsesource/J2V8,Java,0.962963,1,0,0.065136,28.833332,2.166667,1,10000,0.749138,214,1,1,1,1
mikaem/spectralDNS,Python,0.896552,1,0,0.164479,29.0,1.0,1,2179,0.0,16,0,1,1,1
rom-rb/rom-sql,Ruby,0.860465,2,1,0.185447,75.25,4.25,1,1750,0.512687,60,1,1,1,1
EC-CUBE/eccube-2_13,PHP,0.947722,9,1,0.37629,14.0,5.888889,1,131926,0.021678,23,1,1,1,1
iSoron/uhabits,Java,0.960784,1,0,0.216827,2.25,0.0,1,10419,0.0,4,0,0,1,1
JeffMatson/heartbeat-control,PHP,0.25,1,0,0.112782,7.5,0.0,1,118,0.0,1,0,0,1,1
codingjoe/django-s3file,Python,0.25,1,1,0.613307,0.0,0.0,1,2177,0.0,4,0,0,1,1
clemahieu/raiblocks,C++,0.758621,1,0,0.080431,101.5,0.0,1,60412,0.143815,9,1,0,1,1
tudelft3d/website,PHP,1.0,3,0,0.034728,84.75,0.5,1,12581,0.0,2,1,1,1,1
exteso/alf.io,Java,0.959184,2,1,0.247825,68.75,10.0,1,117279,0.079595,111,1,1,1,1
opscode-cookbooks/pkgutil,Ruby,0.2,1,1,0.0,0.5,0.035714,1,139,0.0,4,0,0,1,1
sumatrapdfreader/sumatrapdf,C,0.845414,2,1,0.19731,50.75,36.5,1,524216,0.022084,834,1,1,1,1
bramdevries/changelog,PHP,1.0,1,1,0.186667,8.0,1.0,0,379,0.488038,6,0,0,1,1
espressif/esp_iot_rtos_sdk,C,0.355556,1,0,0.374755,5.666667,6.666667,1,35466,0.01723,330,1,1,1,1
hpcc-systems/HPCC-JAPIs,Java,0.998264,2,0,0.237832,12.4,3.2,1,121480,0.001188,1,1,1,1,1
rpastrana/HPCC-JAPIs,Java,0.998264,2,0,0.237832,12.75,0.25,1,121480,0.001188,0,1,1,1,1
mvo5/unattended-upgrades,Python,0.8,1,0,0.207751,6.333333,0.277778,1,2262,0.453274,9,1,1,1,1
PufferPanel/PufferPanel,PHP,0.852459,2,1,0.161532,130.75,53.0,1,10200,0.0,212,1,1,1,1
ParticularLabs/GitVersion,C#,0.928994,3,0,0.020195,23.200001,12.2,1,9912,0.347022,391,1,1,1,1
arrayfire/arrayfire,C++,0.93921,4,0,0.169278,247.25,118.5,1,72300,0.141906,1236,1,1,1,1
