nschloe/betterbib,Python,0.0,1,0,0.0,3.75,0.0,1,307,0.0,17,0,0,1,1
digipost/sdp-shared,Java,1.0,5,0,0.190561,30.916668,0.25,1,5460,0.137506,2,1,1,1,1
scienceopen/nmea-util,Python,1.0,1,0,0.173913,1.333333,0.166667,1,181,0.0,1,0,0,1,1
OsirisTerje/IFix,C#,0.588235,1,0,0.140334,12.0,0.333333,0,1746,0.155365,5,0,1,1,1
postfixadmin/postfixadmin,PHP,0.871658,2,0,0.337215,15.768421,0.010526,1,27108,0.006395,27,1,0,1,1
duncan3dc/fork-helper,PHP,0.666667,1,1,0.158333,3.5,0.0,1,235,0.473684,5,1,0,1,1
allisson/django-pagseguro2,Python,0.36,1,1,0.134858,6.75,1.25,1,2298,0.597568,34,1,1,1,1
jimmoores/quandl4j,Java,0.924528,1,1,0.012998,10.5,0.75,1,117011,0.395952,21,1,1,1,1
stubbles/stubbles-date,PHP,1.0,1,1,0.482557,2.222222,0.222222,1,2320,0.634234,1,1,1,1,1
duncan3dc/domparser,PHP,0.928571,1,1,0.119277,3.555556,0.0,1,782,0.50152,2,1,0,1,1
adafruit/Adafruit_MPL3115A2_Library,C++,1.0,4,0,0.265993,0.9,0.3,1,237,0.0,3,0,0,1,1
gpupo/similarity,PHP,0.947368,1,1,0.084727,0.0,0.0,1,902,0.391858,4,0,0,1,1
contao/contao,PHP,0.0,1,0,0.0,46.392406,0.962025,0,54047,0.0,29,0,1,1,1
jgraichen/rails-rfc6570,Ruby,0.56,1,1,0.239412,2.555556,0.222222,1,966,0.184685,3,1,0,1,1
G-Node/nixpy,Python,0.883721,3,1,0.180102,61.444443,13.555556,1,4961,0.456296,4,1,1,1,1
Markush2010/django-osm-field,Python,0.294118,1,1,0.158023,33.0,1.0,1,1393,0.031977,6,1,1,1,1
kurudrive/vk-post-author-display,PHP,0.0,2,0,0.239075,0.823529,0.176471,1,296,0.0,1,0,0,1,1
