bfontaine/ud,Ruby,0.75,1,1,0.146067,2.166667,0.583333,1,351,0.57732,4,1,1,1,1
NYCComptroller/Checkbook,PHP,0.662489,5,0,0.193396,123.238098,1.857143,1,1321879,0.0,39,1,1,1,1
sksamuel/scrimage,Java,0.995,1,1,0.296501,28.380953,3.619048,1,21687,0.0,319,1,1,1,1
sot/Ska.Shell,Python,0.4,2,0,0.384994,3.5,2.5,0,500,0.315068,0,1,0,1,1
rom-rb/devtools,Ruby,0.793103,3,1,0.301923,16.894737,2.526316,1,1139,0.030096,58,1,1,1,1
rurema/bitclust,Ruby,1.0,2,1,0.050132,6.631579,0.736842,0,12960,0.137134,15,1,1,1,1
Fody/ToString,C#,0.333333,3,0,0.003289,3.45,0.7,1,1835,0.281072,10,1,1,1,1
rurema/doctree,Ruby,0.5,4,1,0.006135,27.809525,8.761905,0,162,0.0,50,0,1,1,1
Octokit/octokit.rb,Ruby,0.989691,6,1,0.333492,28.222221,10.253968,1,7492,0.6073,2175,1,1,1,1
konomae/lastpass-python,Python,0.95,1,1,0.053424,3.333333,0.444444,1,1962,0.27772,51,1,1,1,1
Carlgo11/SimpleAutomessage,Java,1.0,1,1,0.193715,13.526316,1.368421,1,2045,0.0,1,1,1,1,1
RubyNepal/rubynepal.github.io,Ruby,0.962963,1,1,0.143555,6.0,0.285714,0,6738,0.0,3,0,0,1,1
tbotaq/timeline-viewer-on-rails,Ruby,0.289017,1,0,0.070266,12.210526,0.0,1,24318,0.107575,0,1,0,1,1
DBD-SQLite/DBD-SQLite,C,0.666667,1,1,0.367253,8.952381,0.380952,1,109309,0.922904,12,1,1,1,1
kovidgoyal/calibre,Python,0.929654,1,0,0.128726,191.710007,3.71,1,569752,0.008748,1773,1,1,1,1
psyomn/wlog,Ruby,0.90625,1,1,0.121361,21.352942,2.294118,0,2377,0.256314,9,0,1,1,1
celluloid/nio4r,C,0.8125,4,1,0.144079,3.485714,1.285714,1,7229,0.0,366,1,1,1,1
jenssegers/Laravel-Model,PHP,1.0,1,1,0.377183,1.6,0.05,0,577,0.285714,47,0,0,1,1
kinow/kinoshita.eti.br,PHP,0.693657,1,0,0.228273,1.631579,0.0,1,117648,0.0692,1,0,0,1,1
garvincasimir/csharp-datatables-parser,C#,0.782609,2,0,0.270196,1.9,0.65,0,46008,0.11144,28,0,0,1,1
zzzeek/sqlalchemy,Python,0.91784,1,0,0.178424,58.240002,3.22,1,169577,0.672469,1141,1,1,1,1
laravel-france/website,PHP,0.536313,2,0,0.178691,12.142857,0.952381,1,6178,0.002668,16,1,1,1,1
