johnbellone/consul-cookbook,Ruby,0.350877,11,1,0.229508,42.272728,14.272727,1,1869,0.157303,104,1,1,1,1
silverstripe-labs/silverstripe-securityreport,PHP,0.625,1,1,0.286982,1.5,0.166667,1,496,0.301003,4,0,0,1,1
GrahamCampbell/Laravel-Manager,PHP,0.75,1,1,0.429084,11.75,0.375,1,413,0.620301,46,1,1,1,1
PanDAWMS/panda-server,Python,0.905556,3,0,0.208277,20.373333,0.026667,1,40821,0.18782,3,1,1,1,1
privacyidea/privacyidea,Python,0.892617,1,1,0.355119,48.900002,11.2,1,54509,0.426945,91,1,1,1,1
monte-language/typhon,Python,0.84375,1,1,0.198786,31.299999,0.6,1,10292,0.08687,10,1,1,1,1
liballeg/allegro5,C,0.864094,7,1,0.125577,60.241573,0.067416,1,156250,0.01185,169,1,1,1,1
betsegaw/windowwalker,C#,0.882353,1,0,0.061771,10.625,5.25,0,15410,0.092391,8,0,1,1,1
maizy/zaglushka,Python,0.857143,1,1,0.004363,4.3,2.6,1,10625,0.056255,1,1,1,1,1
codevise/pageflow,Ruby,0.915743,2,1,0.048906,78.099998,27.1,1,36687,0.428708,280,1,1,1,1
opscode-cookbooks/yum-mysql-community,Ruby,0.083333,1,0,0.151093,3.428571,0.428571,1,749,0.059375,4,1,1,1,1
coduo/php-to-string,PHP,1.0,1,1,0.139241,0.0,0.0,1,167,0.483146,6,0,0,1,1
caskroom/homebrew-cask,Ruby,0.998884,14,1,0.046669,980.150024,308.600006,1,42295,0.091627,8529,1,1,1,1
