opentok/opentok-android-sdk-samples,Java,0.903226,2,0,0.048246,17.888889,6.0,1,7816,0.001588,44,1,1,1,1
etiennestuder/gradle-jooq-plugin,Java,0.5,1,0,0.104305,23.666668,2.0,1,924,0.550847,23,1,1,1,1
greg0ire/enum,PHP,1.0,1,1,0.173228,2.111111,0.222222,1,160,0.52459,4,1,0,1,1
robotology/stereoVision,C++,0.9375,2,0,0.163346,2.410256,0.0,1,5104,0.0,1,1,0,1,1
matsuosh/rollbook,Ruby,0.770398,2,0,0.214775,27.8125,0.1875,1,15415,0.497602,1,1,1,1,1
lucatume/wp-browser,PHP,0.552239,1,0,0.345088,25.428572,1.857143,0,9013,0.076862,48,0,1,1,1
jpakkane/meson,Python,0.916667,1,0,0.050839,48.407406,3.666667,1,14207,0.0,317,0,1,1,1
fmichonneau/phylobase,C++,0.911111,5,1,0.242987,9.067416,0.044944,1,28458,0.0,5,1,1,1,1
sue445/rspec-temp_dir,Ruby,0.333333,1,1,0.451613,5.6,0.6,1,145,0.310345,6,1,1,1,1
sue445/heart_seed,Ruby,0.431818,1,1,0.280288,18.375,3.125,1,1255,0.311721,11,1,1,1,1
pyca/service_identity,Python,0.545455,1,1,0.378842,7.333333,0.666667,1,1085,0.441781,28,1,1,1,1
Starkast/wikimum,Ruby,0.472222,2,1,0.018373,8.75,1.041667,1,1167,0.116976,2,1,1,1,1
dreamworksanimation/openvdb,C++,0.978648,1,0,0.209334,6.142857,0.857143,1,108799,0.0,267,0,1,1,1
OP-TEE/optee_os,C,0.859322,5,1,0.351498,54.444443,25.888889,1,65598,0.120358,94,1,1,1,1
cake-build/cake,C#,0.955882,2,1,0.27763,62.0,20.700001,1,30894,0.427624,423,1,1,1,1
puppetlabs/puppetlabs-powershell,Ruby,0.5,4,0,0.026415,4.24,1.28,1,610,0.603715,25,1,1,1,1
miketheman/nginx,Ruby,0.2,22,1,0.137931,10.0,2.391892,1,114,0.153846,406,1,1,1,1
burtlo/ark,Ruby,0.862745,5,1,0.064401,8.085714,1.828571,1,3071,0.417799,77,1,1,1,1
someara/ark,Ruby,0.153846,6,1,0.116415,7.269231,0.076923,1,1758,0.097222,77,1,1,1,1
att/XACML,Java,0.944759,1,0,0.191632,7.625,2.375,1,147391,0.242208,36,1,1,1,1
jrl-umi3218/sch-core,C++,0.985714,5,1,0.129593,1.707006,0.019108,1,9126,0.066781,0,1,1,1,1
maxcanna/muzei-webcam,Java,0.875,1,1,0.113541,2.875,0.0,1,1096,0.0,1,0,0,1,1
