aharpole/rsstube,Ruby,0.346154,1,0,0.140591,3.0,0.666667,1,2466,0.102362,0,1,1,1,1
owncloud/android-library,Java,0.964706,3,1,0.352376,24.785713,4.0,1,7733,0.117466,50,1,1,1,1
HdrHistogram/HdrHistogram,Java,0.956522,2,0,0.318484,24.0,3.285714,1,13368,0.36733,929,1,1,1,1
Billmate/woocommerce,PHP,0.8,2,0,0.244,9.571429,4.642857,0,10051,0.0,2,0,1,1,1
pythonkr/pyconkr,Python,0.333333,5,0,0.187151,38.166668,5.666667,0,8050,0.0,18,0,1,1,1
JHaals/yopass,Ruby,0.75,2,1,0.050193,7.769231,0.538462,1,788,0.315068,43,1,1,1,1
prawnpdf/pdf-core,Ruby,0.9,1,1,0.212494,4.714286,1.071429,1,1667,0.251211,7,1,1,1,1
tdenewiler/make_movie,Python,0.333333,1,0,0.028436,0.666667,0.0,1,213,0.0,0,0,0,1,1
tas50/chef-nrpe,Ruby,0.047619,1,1,0.270012,12.071429,2.071429,1,813,0.403614,19,1,1,1,1
abrensch/brouter,Java,0.980769,2,0,0.083999,7.285714,2.5,1,12961,0.036085,35,1,1,1,1
aperezdc/signify,C,0.958333,1,0,0.153364,1.615385,0.307692,1,4213,0.0,19,0,0,1,1
teknux-org/jetty-bootstrap,Java,0.883721,1,0,0.348119,6.384615,1.846154,1,3317,0.266528,9,1,1,1,1
PhilGrayson/wildpawsagility.co.uk,PHP,0.428571,2,0,0.400725,1.333333,0.0,1,11909,0.0,0,0,0,1,1
fmunch/transloader,Java,1.0,1,0,0.290638,0.0,0.0,1,1527,0.252913,1,0,0,1,1
codingjoe/django-vies,Python,0.714286,2,1,0.061441,5.5,1.166667,1,445,0.0,13,1,1,1,1
sford/yet-another-commit-checker,Java,0.947368,3,1,0.118874,8.777778,5.0,1,1919,0.479008,37,1,1,1,1
