"ethauvin/mobibot","Java","0.789474","1","0","0.333399","0.684685","0.0","1","3414","0.0","8","0","0","1","1"
"wsliu/wsliu.github.com","Ruby","1.0","1","0","0.121722","4.142857","0.0","1","1521","0.0","0","0","0","1","1"
"collective/kupu","Python","0.785714","3","0","0.159674","5.15873","0.0","1","27856","0.199088","1","1","0","1","1"
"nemilya/redmine_greenmine","Ruby","0.321429","1","0","0.100156","2.666667","0.0","1","1233","0.0022","2","1","0","1","1"
"groleo/doxygen","C++","0.95354","2","1","0.172898","2.515337","0.0","1","304097","0.09387","0","1","0","1","1"
"imtapps/JenkinsDashboard","Python","0.3","4","0","0.108392","1.181818","0.0","1","513","0.079882","1","1","0","1","1"
"jimmie33/Hierarchy_Ensemble","C++","0.882353","1","0","0.221415","4.25","0.0","1","2560","0.0","1","0","0","1","1"
"ruediheimlicher/CNC_Slave","C","0.142857","1","0","0.280326","7.166667","0.0","1","3625","0.0","1","0","0","1","1"
"maddingo/php-cmis-server","PHP","0.46875","1","0","0.096201","18.0","1.0","0","3716","0.0","4","0","0","1","1"
"khmarbaise/supose","Java","0.964602","2","0","0.261994","4.465753","0.013699","1","11361","0.311731","8","1","1","1","1"
"manolo/gwtupload","Java","0.931034","1","0","0.257656","6.553571","0.160714","1","10666","0.0","36","0","0","1","1"
"garjust/python_snippets","Python","0.5","1","1","0.133843","14.0","0.0","0","456","0.573991","0","0","0","1","1"
"akolosov/tiamat","Ruby","0.320513","1","0","0.233891","0.0","0.0","1","2542","0.160632","0","0","0","1","1"
"pranavrc/SC-irclejerk","Python","1.0","1","0","0.161868","1.24","0.04","1","6791","0.0","4","0","0","1","1"
"tinogomes/tinogomes.github.com","Ruby","1.0","2","0","0.095848","2.351351","0.0","1","4408","0.0","1","1","0","1","1"
"fukuball/CKIPClient-PHP","PHP","0.8","1","1","0.262712","2.142857","0.071429","0","390","0.220513","39","0","0","1","1"
"dpobel/planet-ezpublish.fr","PHP","0.411111","1","1","0.292369","3.661017","0.440678","1","5879","0.197796","9","1","1","1","1"
"ronchaine/Wheel","C++","0.87234","1","0","0.176142","3.617647","0.235294","1","8284","0.004894","1","1","1","1","1"
"icarito/tzolkin","Python","0.4","2","0","0.047771","2.375","0.0","1","601","0.0","1","1","0","1","1"
"thisMagpie/compmethGit","Java","1.0","2","0","0.465944","0.533333","0.0","1","786","0.0","0","0","0","1","1"
"Sama34/OUGC-Mark-PM-As-Unread","PHP","0.333333","1","0","0.296636","0.185185","0.074074","1","251","0.0","0","0","0","1","1"
"mach-kernel/KDX-Maya","C++","1.0","1","0","0.304094","0.0","0.0","1","238","0.0","3","0","0","1","1"
"andreaiacono/Cartographer","Python","0.862069","1","0","0.104128","3.222222","0.0","1","3911","0.0","2","0","0","1","1"
"xatier/junkcode","C","0.857143","1","0","0.075605","4.2","0.0","1","8005","0.016905","0","1","0","1","1"
"Esysteme/glial","PHP","0.902256","1","0","0.271325","10.0","0.068966","1","15729","0.012637","3","1","1","1","1"
"kerglis/keg_engine","Ruby","0.441176","1","0","0.124158","6.611111","0.0","1","7945","0.100498","0","1","0","1","1"
"mag0716/Android","Java","0.825","2","0","0.184282","1.111111","0.194444","1","10898","0.126458","0","1","0","1","1"
"timkurvers/app-store-emigrant","Ruby","0.714286","1","1","0.13099","3.25","0.375","1","622","0.353635","15","1","1","1","1"
"concord-consortium/smartgraphs-connector","Ruby","0.434783","1","0","0.121456","0.0","0.0","1","1881","0.266323","1","0","0","1","1"
"excid3/chef-rails-stack","Ruby","0.244094","2","0","0.312889","4.5","0.0","1","6977","0.007077","5","1","0","1","1"
"orneo1212/PythonFarmGame","Python","1.0","1","0","0.145944","300.0","1.0","1","2254","0.0","5","0","1","1","1"
"timkurvers/php-enums","PHP","0.9","1","0","0.473495","1.0","0.0","1","667","0.0","14","0","0","1","1"
"jkingdon/jh2gh","Python","1.0","1","0","0.269441","78.0","0.0","1","667","0.401799","0","1","0","1","1"
"coolya/logv.YAAF","C#","0.884615","1","0","0.094722","0.857143","0.0","1","1243","0.0","2","0","0","1","1"
"venu/sf2-blog","PHP","0.90566","1","1","0.124751","0.0","0.0","1","9975","0.0","3","0","0","1","1"
"sherry1989/http","C++","0.862745","1","0","0.277132","6.285714","0.0","1","23467","0.384662","0","1","0","1","1"
