"Proxmark/proxmark3","C","0.896","6","0","0.200225","26.722221","5.166667","1","61106","0.002856","223","1","1","1","1"
"Kellel/tunneld","C","1.0","1","0","0.122302","0.0","0.0","1","369","0.0","0","0","0","1","1"
"akhmirem/furnidashboard","Python","0.381356","1","0","0.11666","6.416667","0.0","1","11745","0.013529","0","1","0","1","1"
"ztan-echo360/EchoLink-Moodle-Plugin","PHP","0.735849","1","0","0.360801","1.923077","0.692308","1","3","0.0","1","0","0","1","1"
"adamhammes/eatalldots","C++","1.0","1","0","0.180556","57.0","0.0","1","590","0.0","0","0","0","1","1"
"devrt/chef-openrtm-aist","Ruby","0.5","1","1","0.2","0.0","0.0","1","121","0.0","0","0","0","1","1"
"ecbtln/dynamics_sim","Python","1.0","1","0","0.38674","9.333333","0.666667","0","905","0.047297","5","0","0","1","1"
"infoScoop/infoscoop-selenium","Java","0.990385","4","0","0.331479","23.5","0.166667","0","7467","0.667791","1","1","1","1","1"
"alexdobin/STAR","C++","0.725","1","0","0.17923","8.75","2.416667","1","35637","0.029289","197","1","1","1","1"
"wp-plugins/vegas-fullscreen-background-slider","PHP","0.090909","1","0","0.183511","0.8","0.0","1","307","0.0","0","0","0","1","1"
"Eskat0n/NArms.Config","C#","0.848485","1","0","0.020443","2.666667","0.5","1","1141","0.440589","0","1","1","1","1"
"gr3co/hw-old","PHP","0.25","1","0","0.0","2.5","0.0","1","1121","0.0","0","0","0","1","1"
"liyinhgqw/HAcid","Java","0.882353","1","0","0.211398","0.0","0.0","1","4052","0.575155","1","0","0","1","1"
"nephilagraphic-cookbooks/l2tp-ipsec","Ruby","0.043478","1","1","0.27395","3.0","0.111111","1","614","0.328729","1","1","0","1","1"
"biocore/qiime","Python","0.967005","10","0","0.35544","78.0","30.571428","1","88301","0.450081","155","1","1","1","1"
"theckman/lita-forecast","Ruby","0.8","1","1","0.050847","17.0","6.0","1","1876","0.782535","3","1","1","1","1"
"ea0723/RubyAngel","Ruby","0.205882","2","0","0.27395","40.5","0.5","0","6163","0.139","1","1","1","1","1"
"peterbarnes/sample_app","Ruby","0.567164","1","0","0.143439","0.0","0.0","1","12680","0.357911","0","0","0","1","1"
"KitaitiMakoto/teresa","Ruby","0.2","1","0","0.2","2.4","1.8","1","375","0.0","2","0","0","1","1"
"adrienbrault/facebook-client","PHP","0.444444","1","0","0.058824","0.6875","0.0","1","229","0.171975","3","0","0","1","1"
"peterjm/eye_of_newt","Ruby","0.866667","1","0","0.052795","6.5","0.1","1","941","0.297561","1","1","0","1","1"
"rdeva31/tinygrind","C","0.366197","1","0","0.24811","0.714286","0.0","1","12628","0.136151","1","0","0","1","1"
"brosander/pentaho-hadoop-gateway","Java","0.947368","1","0","0.11916","0.0","0.0","1","1303","0.047891","0","0","0","1","1"
"codyrushing/apod-php-scraper","PHP","0.666667","1","0","0.262774","0.333333","0.0","1","118","0.0","0","0","0","1","1"
"virajchitnis/linux-webui","PHP","0.066667","1","0","0.002667","17.0","8.0","1","1160","0.0","6","0","1","1","1"
"Apua/forget_pass","PHP","0.75","1","0","0.047131","30.0","0.0","1","9204","0.0","0","0","0","1","1"
